Species,Conservation status,IUCN red list,Coverage,Publication
Gorilla Gorilla,Decreasing,https://www.iucnredlist.org/species/9404/136250858,25x,Yes doi:10.1038/nature12228
Pan Paniscus,Decreasing,https://www.iucnredlist.org/species/15932/102331567,25x,Yes doi:10.1038/nature12228
Pan Troglodytes,Decreasing,https://www.iucnredlist.org/species/15933/129038584,25x,Yes doi:10.1038/nature12228
Burrowing Owl,Decreasing,https://www.iucnredlist.org/species/22689353/93227732,,
Japanese Quail,Decreasing,https://www.iucnredlist.org/species/22678949/95209097,,
Willow Warbler,Decreasing,https://www.iucnredlist.org/species/22715240/87636348,,
House Sparrow,Decreasing,https://www.iucnredlist.org/species/103818789/155522130,,
Little Egret,Increasing,https://www.iucnredlist.org/species/62774969/86473701,,
Crested Ibis,Increasing,https://www.iucnredlist.org/species/22697548/132069229,,
Collared Flycatcher,Increasing,https://www.iucnredlist.org/species/22709315/155539425,,
Great Tit,Increasing,https://www.iucnredlist.org/species/22735990/87431138,,
Aptenodytes Patagonicus,Increasing,https://www.iucnredlist.org/species/22697748/184637776,at least x2.5,https://www.nature.com/articles/nature13685
Zebra Finch,Stable,https://www.iucnredlist.org/species/103817982/132195948,,
Hooded Crow,ras,ras,,
